Temp(K)	Res(\muOhmcm)
264.72475	180.722495815342
265.55105	180.99465228263
266.3371	181.243469596769
267.1562	181.482509427578
267.9836	181.770221146359
268.81405	182.021873980417
269.6095	182.237765418748
270.43235	182.518911955452
271.21105	182.764283084302
272.0233	183.022639806735
272.84945	183.25438999427
273.6668	183.49823829111
274.44485	183.757474075902
275.26075	184.005393111613
276.10185	184.2529038239
276.89905	184.499224366644
277.68665	184.718050144854
278.53855	184.960851034876
279.33325	185.204901014455
280.15275	185.404826512772
280.94925	185.636828955893
281.76735	185.870688050016
282.57165	186.15128654246
283.36365	186.351058734986
284.20055	186.581725813659
284.97045	186.777582253535
285.8001	187.0277176795
286.62185	187.266146502319
287.43675	187.509846287269
288.25965	187.735194003243
289.02675	187.954782860297
289.8856	188.159234526271
290.6694	188.39601249178
291.4943	188.63671476358
292.3046	188.822701177499
293.12365	189.034192112474
293.9358	189.267414466197
294.72285	189.464566332299
295.578	189.670662104092
296.3899	189.902172888002
296.9314	190.060284882396
297.47105	190.215852662122
298.00165	190.365079519239
298.55215	190.500773386643
299.08615	190.664660812597
299.6642	190.83350721436
301.30495	191.270703712184
